set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff
"('S07', 'S08', 'S09', 'S11')",0.13540325904987094,0.3178074447444025,0.7853260869565217,0.3763303434315195,0.11954441474839567
"('S01', 'S08', 'S09', 'S11')",0.13540325904987094,0.3162188496611257,0.7853260869565217,0.3863287181058886,0.10705824587865038
"('S03', 'S04', 'S08', 'S09')",0.13540325904987094,0.3101285863707125,0.7853260869565217,0.5365961491524853,0.17444162926214943
"('S02', 'S03', 'S08', 'S09')",0.13540325904987094,0.3092074159378573,0.7853260869565217,0.3475346569442406,0.2151106764524904
"('S03', 'S08', 'S09', 'S11')",0.13540325904987094,0.30490292862657464,0.7853260869565217,0.4648885211294338,0.17390299739795348
"('S01', 'S06', 'S08', 'S09')",0.13540325904987094,0.30438279754092423,0.7853260869565217,0.31073919698046354,0.1924891370816516
"('S03', 'S07', 'S08', 'S09')",0.13540325904987094,0.3043613193147575,0.7853260869565217,0.3778172099754579,0.1833843889909614
"('S01', 'S03', 'S08', 'S09')",0.13540325904987094,0.30091216702220214,0.7853260869565217,0.38658044595079605,0.17825407118775163
"('S04', 'S07', 'S08', 'S09')",0.13540325904987094,0.2996137478402673,0.7853260869565217,0.4474849286551635,0.11662005907817441
"('S03', 'S05', 'S08', 'S09')",0.13540325904987094,0.2974162999717337,0.7853260869565217,0.5377667834378005,0.17640211210544202
"('S01', 'S04', 'S08', 'S09')",0.13540325904987094,0.2914647453649065,0.7853260869565217,0.4583858879596144,0.10346659034970512
"('S01', 'S02', 'S08', 'S09')",0.13540325904987094,0.2872583638260967,0.7853260869565217,0.3403527437464093,0.17859262980680093
"('S04', 'S08', 'S09', 'S11')",0.13540325904987094,0.28253723427136235,0.7853260869565217,0.5784541582038332,0.0907192719382357
"('S06', 'S07', 'S08', 'S09')",0.13540325904987094,0.2819819481144742,0.7853260869565217,0.3036518052386717,0.1969443688267817
"('S02', 'S07', 'S08', 'S09')",0.13540325904987094,0.2816876918700858,0.7853260869565217,0.33220934149093434,0.18333585677026154
"('S01', 'S05', 'S08', 'S09')",0.13540325904987094,0.2798251390346369,0.7853260869565217,0.45715093831041037,0.10926307437498535
"('S05', 'S07', 'S08', 'S09')",0.13540325904987094,0.27260827775022245,0.7853260869565217,0.4462982812503193,0.11963613378854092
"('S05', 'S08', 'S09', 'S11')",0.13540325904987094,0.27223041490533395,0.7853260869565217,0.5795468080935683,0.09855348910253119
