set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff,table,n_candidates,min_cri_iqr
"('S02', 'S03', 'S06', 'S12')",0.034004649096364026,0.1297729269772896,0.827538247566064,0.7191432051735327,0.07067263792640989,T0,9,0.20785747670623045
"('S02', 'S03', 'S07', 'S08')",0.007029835021597819,0.08068163319209998,0.9043478260869565,0.78755761846365,0.05823468102162807,T0,9,0.20785747670623045
"('S02', 'S03', 'S07', 'S11')",0.007029835021597819,0.12497849907605862,0.9043478260869565,0.7477196574875927,0.049874429454471535,T0,9,0.20785747670623045
"('S02', 'S03', 'S07', 'S12')",0.007029835021597819,0.10831157735752439,0.9043478260869565,0.7566575046799873,0.06325120198144368,T0,9,0.20785747670623045
"('S02', 'S03', 'S08', 'S11')",0.034004649096364026,0.16049987352845074,0.827538247566064,0.680643710728969,0.07860159617249343,T0,9,0.20785747670623045
"('S02', 'S03', 'S08', 'S12')",0.034004649096364026,0.12883165628556537,0.827538247566064,0.7087122102222242,0.07665146726904548,T0,9,0.20785747670623045
"('S02', 'S03', 'S11', 'S12')",0.034004649096364026,0.1745358281224174,0.827538247566064,0.6839340951850407,0.08097684381853897,T0,9,0.20785747670623045
"('S02', 'S05', 'S06', 'S07')",0.007029835021597819,0.10508386411758464,0.9043478260869565,0.737477786049226,0.047201126835779116,T0,9,0.20785747670623045
"('S02', 'S05', 'S06', 'S08')",0.08438832053957357,0.11758354839132679,0.752,0.6750985655330167,0.07332946292572505,T0,9,0.20785747670623045
"('S02', 'S05', 'S06', 'S11')",0.08438832053957357,0.13586787944310164,0.8326359832635983,0.7273414385327687,0.05616806063640121,T0,9,0.20785747670623045
"('S02', 'S05', 'S06', 'S12')",0.08438832053957357,0.1354675238372559,0.8124137931034483,0.7118049964962014,0.0751214052659031,T0,9,0.20785747670623045
"('S02', 'S05', 'S07', 'S08')",0.007029835021597819,0.10300853764300266,0.9043478260869565,0.7158360819117924,0.0683013806260762,T0,9,0.20785747670623045
"('S02', 'S05', 'S07', 'S11')",0.007029835021597819,0.14713263638439555,0.9043478260869565,0.7064880956455494,0.05462502430720272,T0,9,0.20785747670623045
"('S02', 'S05', 'S07', 'S12')",0.007029835021597819,0.13176257845403283,0.9043478260869565,0.7210714899858015,0.07213069668288753,T0,9,0.20785747670623045
"('S02', 'S05', 'S08', 'S11')",0.08658141059058544,0.15857664667664262,0.7613941018766756,0.6544234767051768,0.08238123106517217,T0,9,0.20785747670623045
"('S02', 'S05', 'S08', 'S12')",0.08658141059058544,0.12820529322192853,0.8124137931034483,0.6881375233462896,0.08456000201043688,T0,9,0.20785747670623045
"('S02', 'S05', 'S11', 'S12')",0.12152601078917791,0.17373669791621504,0.8124137931034483,0.6938493830189202,0.08356927380821344,T0,9,0.20785747670623045
"('S02', 'S06', 'S07', 'S08')",0.007029835021597819,0.11663644679861906,0.9043478260869565,0.7222034718742334,0.06860141149461689,T0,9,0.20785747670623045
"('S02', 'S06', 'S07', 'S11')",0.007029835021597819,0.14536761059519232,0.9043478260869565,0.7368740838574145,0.05500614036411147,T0,9,0.20785747670623045
"('S02', 'S06', 'S07', 'S12')",0.007029835021597819,0.1358355829509187,0.9043478260869565,0.7175660166777456,0.07242162885377355,T0,9,0.20785747670623045
"('S02', 'S06', 'S08', 'S11')",0.08612947140951233,0.16188382779623434,0.8326359832635983,0.6629051552766682,0.08052395621125012,T0,9,0.20785747670623045
"('S02', 'S06', 'S08', 'S12')",0.08923368688276223,0.13735050462760945,0.7312252964426877,0.6627277403978599,0.08261254327049213,T0,9,0.20785747670623045
"('S02', 'S06', 'S11', 'S12')",0.08612947140951233,0.16748897437707644,0.8326359832635983,0.6924581983199146,0.08170290025663673,T0,9,0.20785747670623045
"('S02', 'S07', 'S08', 'S11')",0.007029835021597819,0.1669532081159376,0.9043478260869565,0.6833926230938957,0.07800602702543631,T0,9,0.20785747670623045
"('S02', 'S07', 'S08', 'S12')",0.007029835021597819,0.12745018262279573,0.9043478260869565,0.7133350445919069,0.07864694183086124,T0,9,0.20785747670623045
"('S02', 'S07', 'S11', 'S12')",0.007029835021597819,0.18342842006188054,0.9043478260869565,0.681474643247967,0.08122234478745621,T0,9,0.20785747670623045
"('S02', 'S08', 'S11', 'S12')",0.08923368688276223,0.18388766775707632,0.7312252964426877,0.636950968543918,0.0930411298721983,T0,9,0.20785747670623045
"('S03', 'S05', 'S06', 'S07')",0.033502343969490256,0.09889312688022223,0.8403361344537815,0.7384178183724361,0.04727095849366609,T0,9,0.20847424395578512
"('S03', 'S05', 'S06', 'S08')",0.08438832053957357,0.10685616876634185,0.763758389261745,0.6840704470111255,0.0671163579417678,T0,9,0.20847424395578512
"('S03', 'S05', 'S06', 'S11')",0.08438832053957357,0.11576714356792472,0.8326359832635983,0.7461824008463044,0.0519740370866237,T0,9,0.20847424395578512
"('S03', 'S05', 'S06', 'S12')",0.08438832053957357,0.12218000347931701,0.8124137931034483,0.7321552377919119,0.06795443165599174,T0,9,0.20847424395578512
"('S03', 'S05', 'S07', 'S08')",0.033502343969490256,0.10518746211653562,0.8403361344537815,0.7072045182778816,0.06832089789328856,T0,9,0.20847424395578512
"('S03', 'S05', 'S07', 'S11')",0.033502343969490256,0.13993820460773643,0.8403361344537815,0.7077256128470659,0.05666362300859481,T0,9,0.20847424395578512
"('S03', 'S05', 'S07', 'S12')",0.033502343969490256,0.13138136219461183,0.8403361344537815,0.7238182861694927,0.0711963453241458,T0,9,0.20847424395578512
